id,pokemon,species_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,color_1,color_2,color_f,egg_group_1,egg_group_2,url_icon,generation_id,url_image
554,darumaka,554,0.6,37.5,63,fire,NA,70,90,45,15,45,50,#F08030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/c/c7/554MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/554.png
422,shellos,422,0.3,6.3,65,water,NA,76,48,48,57,62,34,#6890F0,NA,NA,water1,indeterminate,//archives.bulbagarden.net/media/upload/f/f2/422MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/422.png
111,rhyhorn,111,1,115,69,ground,rock,80,85,95,30,30,25,#E0C068,#B8A038,#D6B85C,monster,ground,//archives.bulbagarden.net/media/upload/e/e8/111MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/111.png
404,luxio,404,0.9,30.5,127,electric,NA,60,85,49,60,49,60,#F8D030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/b/bc/404MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/404.png
532,timburr,532,0.6,12.5,61,fighting,NA,75,80,55,25,35,35,#C03028,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/1/19/532MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/532.png
506,lillipup,506,0.4,4.1,55,normal,NA,45,60,45,25,45,55,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/6/62/506MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/506.png
556,maractus,556,1,28,161,grass,NA,75,86,67,106,67,60,#78C850,NA,NA,plant,NA,//archives.bulbagarden.net/media/upload/2/22/556MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/556.png
10087,camerupt-mega,323,2.5,320.5,196,fire,ground,70,120,100,145,105,20,#F08030,#E0C068,#EC8F3D,ground,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10087.png
343,baltoy,343,0.5,21.5,60,ground,psychic,40,40,55,40,70,55,#E0C068,#F85888,#E5A66F,mineral,NA,//archives.bulbagarden.net/media/upload/0/0e/343MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/343.png
582,vanillite,582,0.4,5.7,61,ice,NA,36,50,50,65,60,44,#98D8D8,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/e/ef/582MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/582.png
121,starmie,121,1.1,80,182,water,psychic,60,75,85,100,85,115,#6890F0,#F85888,#8A82D6,water3,NA,//archives.bulbagarden.net/media/upload/4/42/121MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/121.png
40,wigglytuff,40,1,12,196,normal,fairy,140,70,45,85,50,45,#A8A878,#EE99AC,#B8A484,fairy,NA,//archives.bulbagarden.net/media/upload/d/d2/040MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/040.png
684,swirlix,684,0.4,3.5,68,fairy,NA,62,48,66,59,57,49,#EE99AC,NA,NA,fairy,NA,//archives.bulbagarden.net/media/upload/3/38/684MS6.png,6,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/684.png
537,seismitoad,537,1.5,62,229,water,ground,105,95,75,85,75,74,#6890F0,#E0C068,#859BCF,water1,NA,//archives.bulbagarden.net/media/upload/d/dc/537MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/537.png
375,metang,375,1.2,202.5,147,steel,psychic,60,75,100,55,80,50,#B8B8D0,#F85888,#C7A0BE,mineral,NA,//archives.bulbagarden.net/media/upload/6/67/375MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/375.png
248,tyranitar,248,2,202,270,rock,dark,100,134,110,95,100,61,#B8A038,#705848,#A68E3B,monster,NA,//archives.bulbagarden.net/media/upload/d/d6/248MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/248.png
198,murkrow,198,0.5,2.1,81,dark,flying,60,85,42,85,42,91,#705848,#A890F0,#7D6570,flying,NA,//archives.bulbagarden.net/media/upload/4/4f/198MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/198.png
378,regice,378,1.8,175,261,ice,NA,80,50,100,100,200,50,#98D8D8,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/3/3e/378MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/378.png
39,jigglypuff,39,0.5,5.5,95,normal,fairy,115,45,20,45,25,20,#A8A878,#EE99AC,#B8A484,fairy,NA,//archives.bulbagarden.net/media/upload/8/8b/039MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/039.png
435,skuntank,435,1,38,168,poison,dark,103,93,67,71,61,84,#A040A0,#705848,#94458A,ground,NA,//archives.bulbagarden.net/media/upload/3/30/435MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/435.png
10008,rotom-heat,479,0.3,0.3,182,electric,fire,50,65,107,105,107,86,#F8D030,#F08030,#F6BC30,indeterminate,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10008.png
390,chimchar,390,0.5,6.2,62,fire,NA,44,58,44,58,44,61,#F08030,NA,NA,ground,humanshape,//archives.bulbagarden.net/media/upload/3/3c/390MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/390.png
280,ralts,280,0.4,6.6,40,psychic,fairy,28,25,25,45,35,40,#F85888,#EE99AC,#F56790,indeterminate,NA,//archives.bulbagarden.net/media/upload/0/0a/280MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/280.png
672,skiddo,672,0.9,31,70,grass,NA,66,65,48,62,57,52,#78C850,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/b/b3/672MS6.png,6,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/672.png
526,gigalith,526,1.7,260,232,rock,NA,85,135,130,60,80,25,#B8A038,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/3/3b/526MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/526.png
642,thundurus-incarnate,642,1.5,61,261,electric,flying,79,115,70,125,80,111,#F8D030,#A890F0,#E4C05E,no-eggs,NA,//archives.bulbagarden.net/media/upload/6/63/642MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/642.png
45,vileplume,45,1.2,18.6,221,grass,poison,75,80,85,110,90,50,#78C850,#A040A0,#81A763,plant,NA,//archives.bulbagarden.net/media/upload/1/19/045MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/045.png
402,kricketune,402,1,25.5,134,bug,NA,77,85,51,55,51,65,#A8B820,NA,NA,bug,NA,//archives.bulbagarden.net/media/upload/7/75/402MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/402.png
22,fearow,22,1.2,38,155,normal,flying,65,90,65,61,61,100,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/0/0b/022MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/022.png
718,zygarde,718,5,305,270,dragon,ground,108,100,121,81,95,95,#7038F8,#E0C068,#8B58D5,no-eggs,NA,//archives.bulbagarden.net/media/upload/5/57/718MS6.png,6,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/718.png
742,cutiefly,742,0.1,0.2,61,bug,fairy,40,45,40,55,40,84,#A8B820,#EE99AC,#B8B041,bug,fairy,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/742.png
193,yanma,193,1.2,38,78,bug,flying,65,65,45,75,45,95,#A8B820,#A890F0,#A8AE52,bug,NA,//archives.bulbagarden.net/media/upload/1/1c/193MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/193.png
371,bagon,371,0.6,42.1,60,dragon,NA,45,75,60,40,30,50,#7038F8,NA,NA,dragon,NA,//archives.bulbagarden.net/media/upload/4/4c/371MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/371.png
499,pignite,499,1,55.5,146,fire,fighting,90,93,55,70,55,55,#F08030,#C03028,#E46C2E,ground,NA,//archives.bulbagarden.net/media/upload/a/ad/499MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/499.png
104,cubone,104,0.4,6.5,64,ground,NA,50,50,95,40,50,35,#E0C068,NA,NA,monster,NA,//archives.bulbagarden.net/media/upload/0/05/104MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/104.png
10116,greninja-battle-bond,658,1.5,40,239,water,dark,72,95,67,103,71,122,#6890F0,#705848,#6982C7,water1,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10116.png
767,wimpod,767,0.5,12,46,bug,water,25,35,40,20,30,80,#A8B820,#6890F0,#98AE52,bug,water3,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/767.png
492,shaymin-land,492,0.2,2.1,270,grass,NA,100,100,100,100,100,100,#78C850,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/2/2b/492MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/492.png
10036,blastoise-mega,9,1.6,101.1,284,water,NA,79,103,120,135,115,78,#6890F0,NA,NA,monster,water1,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10036.png
616,shelmet,616,0.4,7.7,61,bug,NA,50,40,85,40,65,25,#A8B820,NA,NA,bug,NA,//archives.bulbagarden.net/media/upload/1/17/616MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/616.png
615,cryogonal,615,1.1,148,180,ice,NA,80,50,50,95,135,105,#98D8D8,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/1/1e/615MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/615.png
10041,gyarados-mega,130,6.5,305,224,water,dark,95,155,109,70,130,81,#6890F0,#705848,#6982C7,water2,dragon,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10041.png
465,tangrowth,465,2,128.6,187,grass,NA,100,100,125,110,50,50,#78C850,NA,NA,plant,NA,//archives.bulbagarden.net/media/upload/c/c1/465MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/465.png
525,boldore,525,0.9,102,137,rock,NA,70,105,105,50,40,20,#B8A038,NA,NA,mineral,NA,//archives.bulbagarden.net/media/upload/0/09/525MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/525.png
10006,shaymin-sky,492,0.4,5.2,270,grass,flying,100,103,75,120,75,127,#78C850,#A890F0,#83BA76,no-eggs,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10006.png
10126,lycanroc-midnight,745,1.1,25,170,rock,NA,85,115,75,55,75,82,#B8A038,NA,NA,ground,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10126.png
176,togetic,176,0.6,3.2,142,fairy,flying,55,40,85,80,105,40,#EE99AC,#A890F0,#DD96BC,flying,fairy,//archives.bulbagarden.net/media/upload/0/0a/176MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/176.png
345,lileep,345,1,23.8,71,rock,grass,66,41,77,61,87,23,#B8A038,#78C850,#A8A93D,water3,NA,//archives.bulbagarden.net/media/upload/b/bc/345MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/345.png
791,solgaleo,791,3.4,230,136,psychic,steel,137,137,107,113,89,97,#F85888,#B8B8D0,#E86F99,no-eggs,NA,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/791.png
110,weezing,110,1.2,9.5,172,poison,NA,65,90,120,85,70,60,#A040A0,NA,NA,indeterminate,NA,//archives.bulbagarden.net/media/upload/b/bd/110MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/110.png
84,doduo,84,1.4,39.2,62,normal,flying,35,85,45,35,35,75,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/7/7f/084MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/084.png
29,nidoran-f,29,0.4,7,55,poison,NA,55,47,52,40,40,41,#A040A0,NA,NA,monster,ground,//archives.bulbagarden.net/media/upload/4/4e/029MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/029.png
141,kabutops,141,1.3,40.5,173,rock,water,60,115,105,65,70,80,#B8A038,#6890F0,#A49C64,water1,water3,//archives.bulbagarden.net/media/upload/1/1a/141MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/141.png
252,treecko,252,0.5,5,62,grass,NA,40,45,35,65,55,70,#78C850,NA,NA,monster,dragon,//archives.bulbagarden.net/media/upload/2/2e/252MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/252.png
733,toucannon,733,1.1,26,218,normal,flying,80,120,75,75,75,60,#A8A878,#A890F0,#A8A295,flying,NA,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/733.png
620,mienshao,620,1.4,35.5,179,fighting,NA,65,125,60,95,60,105,#C03028,NA,NA,ground,humanshape,//archives.bulbagarden.net/media/upload/f/fc/620MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/620.png
304,aron,304,0.4,60,66,steel,rock,50,70,100,40,40,30,#B8B8D0,#B8A038,#B8B2AB,monster,NA,//archives.bulbagarden.net/media/upload/0/07/304MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/304.png
545,scolipede,545,2.5,200.5,218,bug,poison,60,100,89,55,69,112,#A8B820,#A040A0,#A69A3F,bug,NA,//archives.bulbagarden.net/media/upload/6/68/545MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/545.png
557,dwebble,557,0.3,14.5,65,bug,rock,50,65,85,35,35,55,#A8B820,#B8A038,#ABB225,bug,mineral,//archives.bulbagarden.net/media/upload/b/b3/557MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/557.png
661,fletchling,661,0.3,1.7,56,normal,flying,45,50,43,40,38,62,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/d/d8/661MS6.png,6,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/661.png
287,slakoth,287,0.8,24,56,normal,NA,60,60,60,35,35,30,#A8A878,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/a/af/287MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/287.png
614,beartic,614,2.6,260,177,ice,NA,95,130,80,70,80,50,#98D8D8,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/b/bf/614MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/614.png
145,zapdos,145,1.6,52.6,261,electric,flying,90,90,85,125,90,100,#F8D030,#A890F0,#E4C05E,no-eggs,NA,//archives.bulbagarden.net/media/upload/4/49/145MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/145.png
329,vibrava,329,1.1,15.3,119,ground,dragon,50,70,50,50,50,70,#E0C068,#7038F8,#C49F8A,bug,NA,//archives.bulbagarden.net/media/upload/a/a6/329MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/329.png
487,giratina-altered,487,4.5,750,306,ghost,dragon,150,100,120,100,120,90,#705898,#7038F8,#7050AF,no-eggs,NA,//archives.bulbagarden.net/media/upload/1/18/487MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/487.png
10049,tyranitar-mega,248,2.5,255,315,rock,dark,100,164,150,95,120,71,#B8A038,#705848,#A68E3B,monster,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10049.png
630,mandibuzz,630,1.2,39.5,179,dark,flying,110,65,105,55,95,80,#705848,#A890F0,#7D6570,flying,NA,//archives.bulbagarden.net/media/upload/4/4b/630MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/630.png
498,tepig,498,0.5,9.9,62,fire,NA,65,63,45,45,45,45,#F08030,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/7/74/498MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/498.png
10014,castform-rainy,351,0.3,0.8,147,water,NA,70,70,70,70,70,70,#6890F0,NA,NA,fairy,indeterminate,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10014.png
619,mienfoo,619,0.9,20,70,fighting,NA,45,85,50,55,50,65,#C03028,NA,NA,ground,humanshape,//archives.bulbagarden.net/media/upload/b/b6/619MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/619.png
576,gothitelle,576,1.5,44,221,psychic,NA,70,55,95,95,110,65,#F85888,NA,NA,humanshape,NA,//archives.bulbagarden.net/media/upload/a/a5/576MS6.png,5,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/576.png
490,manaphy,490,0.3,1.4,270,water,NA,100,100,100,100,100,100,#6890F0,NA,NA,water1,fairy,//archives.bulbagarden.net/media/upload/c/c2/490MS6.png,4,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/490.png
736,grubbin,736,0.4,4.4,60,bug,NA,47,62,45,55,45,46,#A8B820,NA,NA,bug,NA,NA,7,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/736.png
103,exeggutor,103,2,120,186,grass,psychic,95,95,85,125,75,55,#78C850,#F85888,#97AC5D,plant,NA,//archives.bulbagarden.net/media/upload/0/0f/103MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/103.png
316,gulpin,316,0.4,10.3,60,poison,NA,70,43,53,43,53,40,#A040A0,NA,NA,indeterminate,NA,//archives.bulbagarden.net/media/upload/d/db/316MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/316.png
51,dugtrio,51,0.7,33.3,149,ground,NA,35,100,50,50,70,120,#E0C068,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/7/79/051MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/051.png
10060,abomasnow-mega,460,2.7,185,208,grass,ice,90,132,105,132,105,30,#78C850,#98D8D8,#7FCB70,monster,plant,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10060.png
290,nincada,290,0.5,5.5,53,bug,ground,31,45,90,30,30,40,#A8B820,#E0C068,#B5B931,bug,NA,//archives.bulbagarden.net/media/upload/a/a6/290MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/290.png
650,chespin,650,0.4,9,63,grass,NA,56,61,65,48,45,38,#78C850,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/2/27/650MS6.png,6,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/650.png
10145,mimikyu-totem-busted,778,0.4,2.8,167,ghost,fairy,55,90,80,50,105,96,#705898,#EE99AC,#8E679C,indeterminate,NA,NA,NA,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/10145.png
